,time,hv,v_lhc,v_pset,v_cbm,v_lpb,v_rib,a_lhc,a_pset,a_cbm,a_lpb,a_rib,a_mai,c_lhc,c_pset,c_cbm,c_lpb,c_rib,c_mai,c_hvi,c_atp,c_nadph,c_pre,c_lip,c_cpm,c_thy,u_lhc,u_pset,u_cbm,u_lpb,u_rib,mu,bm,slk_25,slk_26,rep
23,11.5,72.0,8.7974931823,1.4371347173,0.6117154901,0.051960557446,0.11244257721,0.13832316382,0.12378432903,0.19326994274,0.027906145925,0.21671641849,0.3,0.13832316382,0.12378432903,0.19326994274,0.027906145925,0.21671641849,0.3,65.458820381,7.3408067269,7.3408067269,3.9781403676,0.46210749285,0.1,0.36210749285,0.13832316382,0.12378432903,0.19326994274,0.027906145925,0.21671641849,0.11244257721,3.7059838194,0.0,0.0,8
24,12.0,71.0,8.8197408326,1.4392968523,0.61233802201,0.051977808987,0.1125369269,0.13812114473,0.12375221916,0.19337107317,0.027911479983,0.21684408296,0.3,0.13812114473,0.12375221916,0.19337107317,0.027911479983,0.21684408296,0.3,65.582419779,7.348333148,7.348333148,3.9793452556,0.46187336389,0.1,0.36187336389,0.13812114473,0.12375221916,0.19337107317,0.027911479983,0.21684408296,0.1125369269,3.9269470987,0.0,0.0,8
25,12.5,70.0,8.8416169185,1.4416420119,0.6130135107,0.051997916142,0.11262098008,0.1379725778,0.12373461126,0.19346592805,0.027915417083,0.21691146581,0.3,0.1379725778,0.12373461126,0.19346592805,0.027915417083,0.21691146581,0.3,65.706894945,7.3576743928,7.3576743928,3.9814483426,0.46170718906,0.1,0.36170718906,0.1379725778,0.12373461126,0.19346592805,0.027915417083,0.21691146581,0.11262098008,4.1612702665,0.0,0.0,8
26,13.0,69.0,8.8590915634,1.44365391,0.61357539871,0.05201502858,0.11269422527,0.13781769253,0.12374126006,0.19354088614,0.027919398843,0.21698076243,0.3,0.13781769253,0.12374126006,0.19354088614,0.027919398843,0.21698076243,0.3,65.801398745,7.3657590642,7.3657590642,3.9830447724,0.46155895259,0.1,0.36155895259,0.13781769253,0.12374126006,0.19354088614,0.027919398843,0.21698076243,0.11269422527,4.4097467642,0.0,0.0,8
27,13.5,68.0,8.8759543689,1.4450723001,0.61406437274,0.052026242949,0.11275612845,0.13771888643,0.1236861269,0.19364200599,0.027920524871,0.21703245582,0.3,0.13771888643,0.1236861269,0.19364200599,0.027920524871,0.21703245582,0.3,65.90224559,7.3699579685,7.3699579685,3.984546184,0.46140501332,0.1,0.36140501332,0.13771888643,0.1236861269,0.19364200599,0.027920524871,0.21703245582,0.11275612845,4.6732134947,0.0,0.0,8
28,14.0,67.0,8.8878189181,1.4463872945,0.61444469147,0.052037211618,0.11280613295,0.13761148129,0.12368623594,0.19369848876,0.027922942634,0.21708085138,0.3,0.13761148129,0.12368623594,0.19369848876,0.027922942634,0.21708085138,0.3,65.966551898,7.3749767084,7.3749767084,3.9856108453,0.46129771722,0.1,0.36129771722,0.13761148129,0.12368623594,0.19369848876,0.027922942634,0.21708085138,0.11280613295,4.9525526511,0.0,0.0,8
29,14.5,66.0,8.8972555703,1.4476235504,0.61475961814,0.052048270443,0.11284365659,0.13753897646,0.12370334781,0.19372561658,0.027925505744,0.21710655341,0.3,0.13753897646,0.12370334781,0.19372561658,0.027925505744,0.21710655341,0.3,66.017286617,7.3806889772,7.3806889772,3.9866458135,0.46124232427,0.1,0.36124232427,0.13753897646,0.12370334781,0.19372561658,0.027925505744,0.21710655341,0.11284365659,5.2486935366,0.0,0.0,8
30,15.0,65.0,8.9061292591,1.4483700593,0.61492803276,0.05205479851,0.11286809324,0.13753381155,0.12366648888,0.19373421396,0.027927853112,0.2171376325,0.3,0.13753381155,0.12366648888,0.19373421396,0.027927853112,0.2171376325,0.3,66.074999459,7.3842128687,7.3842128687,3.9870004719,0.46120030043,0.1,0.36120030043,0.13753381155,0.12366648888,0.19373421396,0.027927853112,0.2171376325,0.11286809324,5.5626143756,0.0,0.0,8
31,15.5,64.0,8.9093671784,1.4486262651,0.61507660076,0.05205684913,0.11287880364,0.13752142719,0.12365327925,0.19377784352,0.027926267728,0.21712118232,0.3,0.13752142719,0.12365327925,0.19377784352,0.027926267728,0.21712118232,0.3,66.095145173,7.3844657945,7.3844657945,3.9878252913,0.46117470644,0.1,0.36117470644,0.13752142719,0.12365327925,0.19377784352,0.027926267728,0.21712118232,0.11287880364,5.8953440683,0.0,0.0,8
32,16.0,63.0,8.9053368192,1.4483515801,0.61496776686,0.0520540199,0.11287513457,0.13748058922,0.12368404281,0.19375905984,0.027927279615,0.21714902851,0.3,0.13748058922,0.12368404281,0.19375905984,0.027927279615,0.21714902851,0.3,66.06402081,7.3832364974,7.3832364974,3.9870482911,0.46116463203,0.1,0.36116463203,0.13748058922,0.12368404281,0.19375905984,0.027927279615,0.21714902851,0.11287513457,6.2479639544,0.0,0.0,8
33,16.5,62.0,8.9007862732,1.4478717576,0.61488749908,0.052050070455,0.11285638317,0.13751945463,0.12368680586,0.19376296504,0.02792466463,0.21710610984,0.3,0.13751945463,0.12368680586,0.19376296504,0.02792466463,0.21710610984,0.3,66.038927584,7.3809228606,7.3809228606,3.9872006599,0.46120626049,0.1,0.36120626049,0.13751945463,0.12368680586,0.19376296504,0.02792466463,0.21710610984,0.11285638317,6.6216093981,0.0,0.0,8
