elapsed_time,distance,sensor,x_pos,y_pos,value,condition,position,section,section2
9365,0.3,1_1,1,1,54.92,0.3 cm,1,Outside,Corner
9419,0.3,1_1,1,1,53.31,0.3 cm,1,Outside,Corner
9473,0.3,1_1,1,1,54.38,0.3 cm,1,Outside,Corner
9526,0.3,1_1,1,1,53,0.3 cm,1,Outside,Corner
9580,0.3,1_1,1,1,54.54,0.3 cm,1,Outside,Corner
9633,0.3,1_1,1,1,53.69,0.3 cm,1,Outside,Corner
9687,0.3,1_1,1,1,54.54,0.3 cm,1,Outside,Corner
9741,0.3,1_1,1,1,53,0.3 cm,1,Outside,Corner
9794,0.3,1_1,1,1,54.31,0.3 cm,1,Outside,Corner
9848,0.3,1_1,1,1,53.31,0.3 cm,1,Outside,Corner
9902,0.3,1_1,1,1,54.54,0.3 cm,1,Outside,Corner
9955,0.3,1_1,1,1,53.23,0.3 cm,1,Outside,Corner
10009,0.3,1_1,1,1,54.15,0.3 cm,1,Outside,Corner
10062,0.3,1_1,1,1,53.15,0.3 cm,1,Outside,Corner
10116,0.3,1_1,1,1,54.31,0.3 cm,1,Outside,Corner
10170,0.3,1_1,1,1,53.15,0.3 cm,1,Outside,Corner
0,0.5,1_1,1,1,44.85,0.5 cm,1,Outside,Corner
53,0.5,1_1,1,1,46.46,0.5 cm,1,Outside,Corner
106,0.5,1_1,1,1,45.08,0.5 cm,1,Outside,Corner
159,0.5,1_1,1,1,46,0.5 cm,1,Outside,Corner
214,0.5,1_1,1,1,44.54,0.5 cm,1,Outside,Corner
267,0.5,1_1,1,1,46.08,0.5 cm,1,Outside,Corner
320,0.5,1_1,1,1,45.77,0.5 cm,1,Outside,Corner
373,0.5,1_1,1,1,46.23,0.5 cm,1,Outside,Corner
427,0.5,1_1,1,1,45.15,0.5 cm,1,Outside,Corner
481,0.5,1_1,1,1,46.15,0.5 cm,1,Outside,Corner
534,0.5,1_1,1,1,45.54,0.5 cm,1,Outside,Corner
587,0.5,1_1,1,1,46.85,0.5 cm,1,Outside,Corner
641,0.5,1_1,1,1,45.31,0.5 cm,1,Outside,Corner
694,0.5,1_1,1,1,46.15,0.5 cm,1,Outside,Corner
748,0.5,1_1,1,1,44.92,0.5 cm,1,Outside,Corner
801,0.5,1_1,1,1,46.54,0.5 cm,1,Outside,Corner
855,0.5,1_1,1,1,45.08,0.5 cm,1,Outside,Corner
908,0.5,1_1,1,1,46,0.5 cm,1,Outside,Corner
962,0.5,1_1,1,1,44.62,0.5 cm,1,Outside,Corner
1015,0.5,1_1,1,1,46.54,0.5 cm,1,Outside,Corner
1069,0.5,1_1,1,1,45.46,0.5 cm,1,Outside,Corner
1122,0.5,1_1,1,1,46.46,0.5 cm,1,Outside,Corner
1176,0.5,1_1,1,1,45.46,0.5 cm,1,Outside,Corner
1229,0.5,1_1,1,1,45.92,0.5 cm,1,Outside,Corner
1283,0.5,1_1,1,1,45,0.5 cm,1,Outside,Corner
1336,0.5,1_1,1,1,46.38,0.5 cm,1,Outside,Corner
1390,0.5,1_1,1,1,45,0.5 cm,1,Outside,Corner
1443,0.5,1_1,1,1,45.38,0.5 cm,1,Outside,Corner
1497,0.5,1_1,1,1,45,0.5 cm,1,Outside,Corner
1550,0.5,1_1,1,1,46.08,0.5 cm,1,Outside,Corner
1603,0.5,1_1,1,1,45,0.5 cm,1,Outside,Corner
1657,0.5,1_1,1,1,46.08,0.5 cm,1,Outside,Corner
1711,0.5,1_1,1,1,44.46,0.5 cm,1,Outside,Corner
1764,0.5,1_1,1,1,46.08,0.5 cm,1,Outside,Corner
1817,0.5,1_1,1,1,45.31,0.5 cm,1,Outside,Corner
1871,0.5,1_1,1,1,46.15,0.5 cm,1,Outside,Corner
1925,0.5,1_1,1,1,44.62,0.5 cm,1,Outside,Corner
1978,0.5,1_1,1,1,45.62,0.5 cm,1,Outside,Corner
2032,0.5,1_1,1,1,45.23,0.5 cm,1,Outside,Corner
2085,0.5,1_1,1,1,46.15,0.5 cm,1,Outside,Corner
2139,0.5,1_1,1,1,45.08,0.5 cm,1,Outside,Corner
2192,0.5,1_1,1,1,45.54,0.5 cm,1,Outside,Corner
2245,0.5,1_1,1,1,45,0.5 cm,1,Outside,Corner
2298,0.5,1_1,1,1,46.15,0.5 cm,1,Outside,Corner
2352,0.5,1_1,1,1,45.08,0.5 cm,1,Outside,Corner
2406,0.5,1_1,1,1,46.08,0.5 cm,1,Outside,Corner
2459,0.5,1_1,1,1,44.46,0.5 cm,1,Outside,Corner
2513,0.5,1_1,1,1,45.92,0.5 cm,1,Outside,Corner
2567,0.5,1_1,1,1,45.38,0.5 cm,1,Outside,Corner
2620,0.5,1_1,1,1,46.08,0.5 cm,1,Outside,Corner
