strain,Source,Logworth,p-value
nostoc_C,Na2CO3*Na2CO3,2.644,0.00227
nostoc_C,EDTA*EDTA,2.334,0.00463
nostoc_C,NaNO3*MgSO4,2.042,0.00908
nostoc_C,CaCl2*Citrate,1.995,0.01012
nostoc_C,NaNO3*NaNO3,1.991,0.01021
nostoc_C,K2HPO4*K2HPO4,1.894,0.01277
nostoc_C,NaNO3*Na2CO3,1.885,0.01303
nostoc_C,NaNO3*CaCl2,1.859,0.01383
nostoc_C,EDTA*Na2CO3,1.559,0.02759
nostoc_C,NaNO3,1.556,0.02781
nostoc_C,EDTA*Citrate,1.489,0.03245
nostoc_C,K2HPO4*Trace elements,1.373,0.04234
nostoc_C,MgSO4*Citrate,1.371,0.04258
nostoc_C,EDTA,0.442,0.36123
nostoc_C,NaNO3*EDTA,0.433,0.36863
nostoc_C,Citrate*Trace elements,0.377,0.41996
nostoc_C,CaCl2*EDTA,0.328,0.47029
nostoc_C,Na2CO3*Citrate,0.293,0.50962
nostoc_C,Citrate*Citrate,0.283,0.52093
nostoc_C,MgSO4*Na2CO3,0.282,0.52263
nostoc_C,Na2CO3,0.251,0.56121
nostoc_C,CaCl2*Trace elements,0.243,0.57195
nostoc_C,K2HPO4*Na2CO3,0.226,0.59361
nostoc_C,K2HPO4*EDTA,0.226,0.59482
nostoc_C,Na2CO3*Trace elements,0.204,0.62457
nostoc_C,CaCl2*CaCl2,0.19,0.64617
nostoc_C,MgSO4*EDTA,0.163,0.68734
nostoc_C,Trace elements*Trace elements,0.135,0.73218
nostoc_C,K2HPO4*Citrate,0.123,0.75315
nostoc_C,MgSO4*CaCl2,0.107,0.78099
nostoc_C,MgSO4*Trace elements,0.1,0.79411
nostoc_C,NaNO3*Citrate,0.097,0.80067
nostoc_C,CaCl2*Na2CO3,0.021,0.95374
nostoc_C,Citrate,0.007,0.98351
nostoc_C,EDTA*Trace elements,0,0.99957
