measurement_ID,row,column,value,well,wavelength,gossypetin,condition,solution
367 nm,C,03,0.193682,C03,367,0,UTEX 2973,BG11
367 nm,D,03,0.201943,D03,367,0,UTEX 2973,BG11
367 nm,E,03,0.106774,E03,367,0,BG11,BG11
367 nm,F,03,0.104011,F03,367,0,BG11,BG11
367 nm,G,03,0.106405,G03,367,0,BG11,BG11
368 nm,B,03,0.198616,B03,368,0,UTEX 2973,BG11
368 nm,C,03,0.192085,C03,368,0,UTEX 2973,BG11
368 nm,D,03,0.200447,D03,368,0,UTEX 2973,BG11
368 nm,E,03,0.104715,E03,368,0,BG11,BG11
368 nm,F,03,0.102078,F03,368,0,BG11,BG11
368 nm,G,03,0.104482,G03,368,0,BG11,BG11
369 nm,B,03,0.196964,B03,369,0,UTEX 2973,BG11
369 nm,C,03,0.190661,C03,369,0,UTEX 2973,BG11
369 nm,D,03,0.198768,D03,369,0,UTEX 2973,BG11
369 nm,E,03,0.10252,E03,369,0,BG11,BG11
369 nm,F,03,0.0999312,F03,369,0,BG11,BG11
369 nm,G,03,0.102321,G03,369,0,BG11,BG11
370 nm,B,03,0.195492,B03,370,0,UTEX 2973,BG11
370 nm,C,03,0.189189,C03,370,0,UTEX 2973,BG11
370 nm,D,03,0.197424,D03,370,0,UTEX 2973,BG11
370 nm,E,03,0.100556,E03,370,0,BG11,BG11
370 nm,F,03,0.0980268,F03,370,0,BG11,BG11
370 nm,G,03,0.100296,G03,370,0,BG11,BG11
371 nm,B,03,0.193315,B03,371,0,UTEX 2973,BG11
371 nm,C,03,0.187177,C03,371,0,UTEX 2973,BG11
371 nm,D,03,0.19536,D03,371,0,UTEX 2973,BG11
371 nm,E,03,0.0980058,E03,371,0,BG11,BG11
371 nm,F,03,0.0956037,F03,371,0,BG11,BG11
371 nm,G,03,0.0978542,G03,371,0,BG11,BG11
372 nm,B,03,0.191902,B03,372,0,UTEX 2973,BG11
372 nm,C,03,0.185933,C03,372,0,UTEX 2973,BG11
372 nm,D,03,0.194034,D03,372,0,UTEX 2973,BG11
372 nm,E,03,0.0961333,E03,372,0,BG11,BG11
372 nm,F,03,0.0936404,F03,372,0,BG11,BG11
372 nm,G,03,0.0959675,G03,372,0,BG11,BG11
373 nm,B,03,0.190266,B03,373,0,UTEX 2973,BG11
373 nm,C,03,0.184406,C03,373,0,UTEX 2973,BG11
373 nm,D,03,0.192486,D03,373,0,UTEX 2973,BG11
373 nm,E,03,0.093943,E03,373,0,BG11,BG11
373 nm,F,03,0.0915031,F03,373,0,BG11,BG11
373 nm,G,03,0.0937875,G03,373,0,BG11,BG11
374 nm,B,03,0.189051,B03,374,0,UTEX 2973,BG11
374 nm,C,03,0.183315,C03,374,0,UTEX 2973,BG11
